4	3
3	2
487383688471	2.560158	633
487383688071	1.254463	894
487383686891	0.899757	841
487383687305	2.670818	127
487383686106	1.834377	355
4	4
487489016549	1.537476	886
487489016855	0.737202	586
487489017469	0.725967	883
487489017178	0.370289	576
487489014742	1.271976	374
487489016678	0.561195	67
487489018841	0.279892	371
487489017600	0.143948	65
4	3
494999558104	1.348640	839
494999559940	1.054317	576
494999558952	0.612049	586
494999558764	0.311970	844
494999559466	0.863243	83
494999558228	0.812790	336
494999560537	0.286446	80
4	4
495942034910	5.112877	578
495942035974	1.190262	878
495942036967	0.947605	582
495942036889	0.584263	875
495942037605	2.837654	377
495942037244	1.584003	90
495942050341	-0.101234	381
495942040334	-0.237057	88
2	2
503920040500	-0.481804	592
503920052679	-0.648361	858
503920043677	-0.726978	78
503920043774	-1.646503	69
3	4
507112940087	1.404369	851
507112940867	0.899475	588
507112941281	0.697891	583
507112940794	1.778011	68
507112939847	1.070312	341
507112941661	0.555904	327
507112941627	-0.002369	72
4	4
513403093953	1.200794	844
513403096316	0.624348	582
513403096556	0.445457	835
513403095663	0.422562	591
513403094965	1.848316	100
513403093676	1.422981	328
513403093505	0.749557	97
513403094241	0.584347	344
4	4
517536209379	2.056965	836
517536210523	1.004036	619
517536212947	0.459503	628
517536216360	-0.534328	845
517536211254	1.699856	102
517536210291	1.263718	349
517536210370	0.407082	352
517536213509	0.330933	98
4	4
529234497227	1.330627	864
529234498883	0.741199	581
529234498824	0.451935	590
529234500313	-0.190414	859
529234496257	2.958775	347
529234497638	2.239082	93
529234500306	1.227978	65
529234510447	-1.227608	89
2	4
535702046065	2.137272	589
535702048306	1.493198	841
535702048135	2.315910	350
535702048615	1.823719	75
535702051837	0.348515	66
535702052680	0.046005	351
2	2
557629828081	0.000908	613
557629828866	-0.598797	611
557629843938	-0.728516	358
557629844605	-1.191559	107
2	3
563080229193	0.358246	598
563080233838	-0.529224	584
563080233082	-0.301521	351
563080244828	-1.157166	75
563080244449	-1.189735	85
4	6
569563801302	0.626656	870
569563802546	0.522289	890
569563800541	0.189396	592
569563802540	-0.113182	576
569563801336	1.478065	354
569563803295	1.402020	64
569563801746	1.016537	358
569563803221	-0.086418	80
569563816074	-0.742931	378
569563817709	-1.044228	355
4	4
579788679280	3.522861	839
579788681007	2.796761	619
579788683511	0.571613	628
579788620019	0.112728	836
579788682265	1.374767	97
579788683182	0.936390	321
579788681870	0.512703	345
579788722837	-0.981880	90
3	3
583159042275	1.543629	619
583159043990	1.100994	895
583159046258	0.975365	888
583159042173	2.974686	371
583159042869	0.859879	362
583159062872	-0.501556	374
3	4
585417106620	1.286469	584
585417106478	0.873131	872
585417110588	-0.494808	869
585417107653	1.048958	353
585417109888	0.676495	88
585417110815	0.430130	72
585417110782	0.010914	356
2	5
598732184098	1.357544	619
598732185100	1.285393	853
598732186091	2.214619	109
598732185638	1.349873	348
598732185601	0.436214	349
598732187836	-0.317608	113
598732211299	-0.704464	121
2	2
606862098484	-0.818176	585
606862085047	-0.912464	845
606862084677	-0.436966	107
606862082891	-0.794476	116
2	2
613921068458	0.663048	580
613921069761	0.229954	589
613921072406	2.558208	67
613921073803	0.180298	76
4	3
614207937550	2.495422	890
614207939086	1.472218	637
614207938266	0.968510	634
614207943468	-0.118542	893
614207938272	3.690132	114
614207938358	1.444687	373
614207940285	0.843609	376
4	2
617244923865	0.853680	607
617244924518	0.817181	846
617244924710	0.332909	852
617244925350	-0.751904	606
617244923053	2.209545	334
617244924203	1.859570	66
2	2
627201071640	-0.332165	881
627201075270	-0.343502	893
627201065765	-0.329632	363
627201066722	-0.458618	378
3	4
628596018815	1.429733	842
628596018342	1.305489	618
628596027994	-0.394257	627
628596017853	2.327381	337
628596021605	1.102810	120
628596020357	0.825237	343
628596021888	0.592987	117
4	5
652437375049	1.783989	832
652437375131	1.046440	608
652437379792	-0.049618	842
652437377775	-0.074310	603
652437377877	2.111885	69
652437377225	1.267803	341
652437378422	0.771404	342
652437377773	0.405140	74
652437388253	-0.044056	350
4	3
668265170341	1.136860	874
668265170843	1.054604	606
668265171697	0.357574	876
668265170308	0.081051	602
668265170073	2.874126	94
668265170113	1.813103	364
668265170182	0.749668	367
4	3
672657948298	1.818356	594
672657947918	1.785679	862
672657948966	0.769791	593
672657949966	0.346024	863
672657950059	1.685959	78
672657952274	1.156635	69
672657965711	-0.425751	84
2	2
683553246555	0.475056	867
683553272258	-0.669014	585
