Event Number, Hits, Delta t, QDC, Layer 1 Hits, Layer 1 QDC, Layer 2 Hits, Layer 2 QDC, Layer 3 Hits, Layer 3 QDC, Layer 4 Hits, Layer 4 QDC, x1 (cm), y1 (cm), x2 (cm), y2 (cm), Adjacent Cut, Edge Cut
50, 8, 6981, 6.687765, 2, 2.030789, 2, 1.6708, 2, 1.463539, 2, 1.522637, 72.58968, 30.32732, 84.111, 35.82294, 1, 1
51, 8, 14190, 7.531574, 3, 2.239452, 1, 2.958775, 2, 1.193134, 2, 1.140213, 28.7947, 33.38802, 7.511665, 32.66781, 0, 1
52, 6, 6615, 8.164619, 2, 2.172234, 2, 2.361915, 1, 2.137272, 1, 1.493198, 46.31017, 42.89875, 35.35644, 58.68078, 1, 1
53, 4, 16524, -2.517964, 1, -1.191559, 1, -0.728516, 2, -0.597889, -1e+06, -1e+06, 84.15, 72.6, 69.30251, -1e+06, 1, 1
54, 5, 15635, -2.8194, 2, -2.346901, 1, -0.301521, 2, -0.170978, -1e+06, -1e+06, 31.98037, 44.55, 82.89366, -1e+06, 0, 1
55, 10, 17168, 3.248204, 2, 1.315602, 4, 0.707443, 2, 0.076214, 2, 1.148945, 11.8347, 72.29087, 12.32999, 73.21686, 1, 1
56, 6, 4231, 9.715095, 1, 1.374767, 2, 1.449093, 2, 3.368374, 1, 3.522861, 58.29222, 24.83826, 83.97796, 19.04249, 1, 1
57, 6, 20699, 6.952997, -1e+06, -1e+06, 3, 3.333009, 1, 1.543629, 2, 2.076359, -1e+06, 98.32602, 84.15, 89.97492, 1, 1
58, 7, 4337, 3.831289, 2, 1.106625, 2, 1.059872, 1, 1.286469, 2, 0.378323, 38.98839, 57.75159, 38.05903, 67.63882, 1, 1
59, 7, 27201, 5.621571, 3, 1.192547, 2, 1.786087, 1, 1.357544, 1, 1.285393, 83.23882, 28.73226, 84.79996, 18.43422, 1, 1
60, 4, 15593, -2.962082, 2, -1.231442, -1e+06, -1e+06, 1, -0.818176, 1, -0.912464, 85.21451, -1e+06, 59.4, 34.65, 1, 1
61, 4, 5345, 3.631508, 2, 2.738506, -1e+06, -1e+06, 2, 0.893002, -1e+06, -1e+06, 22.99137, -1e+06, 35.87511, -1e+06, 1, 1
62, 7, 5918, 10.79604, 1, 3.690132, 2, 2.288296, 2, 2.440728, 2, 2.37688, 64.89307, 88.7066, 74.37414, 75.6412, 1, 1
63, 6, 2297, 5.320981, 1, 1.85957, 1, 2.209545, 2, 0.101776, 2, 1.15009, 47.81169, 6.931871, 43.45486, 5.151717, 1, 1
64, 4, 9505, -1.463917, -1e+06, -1e+06, 2, -0.78825, -1e+06, -1e+06, 2, -0.675667, -1e+06, 78.39, -1e+06, 77.52231, 0, 1
65, 7, 10141, 7.18938, 2, 1.695797, 2, 3.152618, 2, 0.911232, 1, 1.429733, 87.65235, 2.635002, 98.18063, 9.766534, 1, 1
66, 9, 13204, 7.218677, 2, 2.517025, 3, 1.995151, 2, 0.97213, 2, 1.734371, 9.217973, 16.96553, 32.22331, 10.12912, 0, 1
67, 7, 1624, 8.066986, 1, 2.874126, 2, 2.562771, 2, 1.135655, 2, 1.494434, 43.40682, 94.58554, 41.94663, 96.52666, 1, 1
